"site","round","rep","species","date","n_germ","siterep","treatment"
"GB",1,3,"TO","2020-01-25",0,"GB _ 3","control"
"GB",1,3,"TO","2020-01-26",0,"GB _ 3","control"
"GB",1,3,"TO","2020-01-27",0,"GB _ 3","control"
"GB",1,3,"TO","2020-01-28",0,"GB _ 3","control"
"GB",1,3,"TO","2020-01-29",0,"GB _ 3","control"
"GB",1,3,"TO","2020-01-30",0,"GB _ 3","control"
"GB",1,3,"TO","2020-01-31",0,"GB _ 3","control"
"GB",1,3,"TO","2020-02-01",NA,"GB _ 3","control"
"GB",1,3,"TO","2020-02-02",NA,"GB _ 3","control"
"GB",1,3,"TO","2020-02-03",0,"GB _ 3","control"
"GB",1,3,"TO","2020-02-04",0,"GB _ 3","control"
"GB",1,3,"TO","2020-02-05",0,"GB _ 3","control"
"GB",1,3,"TO","2020-02-06",0,"GB _ 3","control"
"GB",1,3,"TO","2020-02-07",0,"GB _ 3","control"
"GB",1,4,"TO","2020-01-21",NA,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-01-22",NA,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-01-23",0,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-01-24",0,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-01-25",0,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-01-26",0,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-01-27",1,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-01-28",0,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-01-29",0,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-01-30",1,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-01-31",0,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-02-01",NA,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-02-02",NA,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-02-03",0,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-02-04",0,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-02-05",0,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-02-06",0,"GB _ 4","snow reduction"
"GB",1,4,"TO","2020-02-07",0,"GB _ 4","snow reduction"
"GB",1,5,"TO","2020-01-21",NA,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-01-22",NA,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-01-23",0,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-01-24",0,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-01-25",0,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-01-26",0,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-01-27",0,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-01-28",0,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-01-29",0,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-01-30",0,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-01-31",1,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-02-01",NA,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-02-02",NA,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-02-03",1,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-02-04",0,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-02-05",0,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-02-06",0,"GB _ 5","snow reduction"
"GB",1,5,"TO","2020-02-07",0,"GB _ 5","snow reduction"
"GB",1,6,"TO","2020-01-21",NA,"GB _ 6","control"
"GB",1,6,"TO","2020-01-22",NA,"GB _ 6","control"
"GB",1,6,"TO","2020-01-23",0,"GB _ 6","control"
"GB",1,6,"TO","2020-01-24",0,"GB _ 6","control"
"GB",1,6,"TO","2020-01-25",0,"GB _ 6","control"
"GB",1,6,"TO","2020-01-26",0,"GB _ 6","control"
"GB",1,6,"TO","2020-01-27",0,"GB _ 6","control"
"GB",1,6,"TO","2020-01-28",0,"GB _ 6","control"
"GB",1,6,"TO","2020-01-29",0,"GB _ 6","control"
"GB",1,6,"TO","2020-01-30",0,"GB _ 6","control"
"GB",1,6,"TO","2020-01-31",0,"GB _ 6","control"
"GB",1,6,"TO","2020-02-01",NA,"GB _ 6","control"
"GB",1,6,"TO","2020-02-02",NA,"GB _ 6","control"
"GB",1,6,"TO","2020-02-03",1,"GB _ 6","control"
"GB",1,6,"TO","2020-02-04",0,"GB _ 6","control"
"GB",1,6,"TO","2020-02-05",2,"GB _ 6","control"
"GB",1,6,"TO","2020-02-06",0,"GB _ 6","control"
"GB",1,6,"TO","2020-02-07",1,"GB _ 6","control"
"GB",1,7,"TO","2020-01-21",NA,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-01-22",NA,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-01-23",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-01-24",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-01-25",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-01-26",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-01-27",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-01-28",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-01-29",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-01-30",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-01-31",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-02-01",NA,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-02-02",NA,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-02-03",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-02-04",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-02-05",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-02-06",0,"GB _ 7","snow reduction"
"GB",1,7,"TO","2020-02-07",0,"GB _ 7","snow reduction"
"GB",1,8,"TO","2020-01-21",NA,"GB _ 8","control"
"GB",1,8,"TO","2020-01-22",NA,"GB _ 8","control"
"GB",1,8,"TO","2020-01-23",0,"GB _ 8","control"
"GB",1,8,"TO","2020-01-24",0,"GB _ 8","control"
"GB",1,8,"TO","2020-01-25",0,"GB _ 8","control"
"GB",1,8,"TO","2020-01-26",0,"GB _ 8","control"
"GB",1,8,"TO","2020-01-27",0,"GB _ 8","control"
"GB",1,8,"TO","2020-01-28",0,"GB _ 8","control"
"GB",1,8,"TO","2020-01-29",0,"GB _ 8","control"
"GB",1,8,"TO","2020-01-30",0,"GB _ 8","control"
"GB",1,8,"TO","2020-01-31",0,"GB _ 8","control"
"GB",1,8,"TO","2020-02-01",NA,"GB _ 8","control"
"GB",1,8,"TO","2020-02-02",NA,"GB _ 8","control"
"GB",1,8,"TO","2020-02-03",0,"GB _ 8","control"
"GB",1,8,"TO","2020-02-04",0,"GB _ 8","control"
"GB",1,8,"TO","2020-02-05",0,"GB _ 8","control"
"GB",1,8,"TO","2020-02-06",0,"GB _ 8","control"
"GB",1,8,"TO","2020-02-07",0,"GB _ 8","control"
"GB",1,9,"TO","2020-01-21",NA,"GB _ 9","control"
"GB",1,9,"TO","2020-01-22",NA,"GB _ 9","control"
"GB",1,9,"TO","2020-01-23",0,"GB _ 9","control"
"GB",1,9,"TO","2020-01-24",0,"GB _ 9","control"
"GB",1,9,"TO","2020-01-25",0,"GB _ 9","control"
"GB",1,9,"TO","2020-01-26",0,"GB _ 9","control"
"GB",1,9,"TO","2020-01-27",0,"GB _ 9","control"
"GB",1,9,"TO","2020-01-28",0,"GB _ 9","control"
"GB",1,9,"TO","2020-01-29",0,"GB _ 9","control"
"GB",1,9,"TO","2020-01-30",0,"GB _ 9","control"
"GB",1,9,"TO","2020-01-31",1,"GB _ 9","control"
"GB",1,9,"TO","2020-02-01",NA,"GB _ 9","control"
"GB",1,9,"TO","2020-02-02",NA,"GB _ 9","control"
"GB",1,9,"TO","2020-02-03",1,"GB _ 9","control"
"GB",1,9,"TO","2020-02-04",0,"GB _ 9","control"
"GB",1,9,"TO","2020-02-05",0,"GB _ 9","control"
"GB",1,9,"TO","2020-02-06",0,"GB _ 9","control"
"GB",1,9,"TO","2020-02-07",0,"GB _ 9","control"
"GB",1,10,"TO","2020-01-21",NA,"GB _ 10","control"
"GB",1,10,"TO","2020-01-22",NA,"GB _ 10","control"
"GB",1,10,"TO","2020-01-23",0,"GB _ 10","control"
"GB",1,10,"TO","2020-01-24",0,"GB _ 10","control"
"GB",1,10,"TO","2020-01-25",0,"GB _ 10","control"
"GB",1,10,"TO","2020-01-26",0,"GB _ 10","control"
"GB",1,10,"TO","2020-01-27",0,"GB _ 10","control"
"GB",1,10,"TO","2020-01-28",0,"GB _ 10","control"
"GB",1,10,"TO","2020-01-29",0,"GB _ 10","control"
"GB",1,10,"TO","2020-01-30",0,"GB _ 10","control"
"GB",1,10,"TO","2020-01-31",1,"GB _ 10","control"
"GB",1,10,"TO","2020-02-01",NA,"GB _ 10","control"
"GB",1,10,"TO","2020-02-02",NA,"GB _ 10","control"
"GB",1,10,"TO","2020-02-03",0,"GB _ 10","control"
"GB",1,10,"TO","2020-02-04",0,"GB _ 10","control"
"GB",1,10,"TO","2020-02-05",0,"GB _ 10","control"
"GB",1,10,"TO","2020-02-06",0,"GB _ 10","control"
"GB",1,10,"TO","2020-02-07",1,"GB _ 10","control"
"MA",1,1,"TO","2020-01-21",NA,"MA _ 1","control"
"MA",1,1,"TO","2020-01-22",NA,"MA _ 1","control"
"MA",1,1,"TO","2020-01-23",0,"MA _ 1","control"
"MA",1,1,"TO","2020-01-24",0,"MA _ 1","control"
"MA",1,1,"TO","2020-01-25",0,"MA _ 1","control"
"MA",1,1,"TO","2020-01-26",0,"MA _ 1","control"
"MA",1,1,"TO","2020-01-27",0,"MA _ 1","control"
"MA",1,1,"TO","2020-01-28",0,"MA _ 1","control"
"MA",1,1,"TO","2020-01-29",0,"MA _ 1","control"
"MA",1,1,"TO","2020-01-30",0,"MA _ 1","control"
"MA",1,1,"TO","2020-01-31",0,"MA _ 1","control"
"MA",1,1,"TO","2020-02-01",NA,"MA _ 1","control"
"MA",1,1,"TO","2020-02-02",NA,"MA _ 1","control"
"MA",1,1,"TO","2020-02-03",0,"MA _ 1","control"
"MA",1,1,"TO","2020-02-04",2,"MA _ 1","control"
"MA",1,1,"TO","2020-02-05",0,"MA _ 1","control"
"MA",1,1,"TO","2020-02-06",0,"MA _ 1","control"
"MA",1,1,"TO","2020-02-07",2,"MA _ 1","control"
"MA",1,2,"TO","2020-01-21",NA,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-01-22",NA,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-01-23",0,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-01-24",0,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-01-25",0,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-01-26",0,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-01-27",0,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-01-28",0,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-01-29",1,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-01-30",0,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-01-31",0,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-02-01",NA,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-02-02",NA,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-02-03",1,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-02-04",2,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-02-05",0,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-02-06",0,"MA _ 2","snow reduction"
"MA",1,2,"TO","2020-02-07",1,"MA _ 2","snow reduction"
"MA",1,3,"TO","2020-01-21",NA,"MA _ 3","control"
"MA",1,3,"TO","2020-01-22",NA,"MA _ 3","control"
"MA",1,3,"TO","2020-01-23",0,"MA _ 3","control"
"MA",1,3,"TO","2020-01-24",0,"MA _ 3","control"
"MA",1,3,"TO","2020-01-25",0,"MA _ 3","control"
"MA",1,3,"TO","2020-01-26",0,"MA _ 3","control"
"MA",1,3,"TO","2020-01-27",0,"MA _ 3","control"
"MA",1,3,"TO","2020-01-28",0,"MA _ 3","control"
"MA",1,3,"TO","2020-01-29",0,"MA _ 3","control"
"MA",1,3,"TO","2020-01-30",0,"MA _ 3","control"
"MA",1,3,"TO","2020-01-31",0,"MA _ 3","control"
"MA",1,3,"TO","2020-02-01",NA,"MA _ 3","control"
"MA",1,3,"TO","2020-02-02",NA,"MA _ 3","control"
"MA",1,3,"TO","2020-02-03",1,"MA _ 3","control"
"MA",1,3,"TO","2020-02-04",0,"MA _ 3","control"
"MA",1,3,"TO","2020-02-05",0,"MA _ 3","control"
"MA",1,3,"TO","2020-02-06",0,"MA _ 3","control"
"MA",1,3,"TO","2020-02-07",1,"MA _ 3","control"
"MA",1,4,"TO","2020-01-21",NA,"MA _ 4","control"
"MA",1,4,"TO","2020-01-22",NA,"MA _ 4","control"
"MA",1,4,"TO","2020-01-23",0,"MA _ 4","control"
"MA",1,4,"TO","2020-01-24",0,"MA _ 4","control"
"MA",1,4,"TO","2020-01-25",0,"MA _ 4","control"
"MA",1,4,"TO","2020-01-26",0,"MA _ 4","control"
"MA",1,4,"TO","2020-01-27",0,"MA _ 4","control"
"MA",1,4,"TO","2020-01-28",0,"MA _ 4","control"
"MA",1,4,"TO","2020-01-29",0,"MA _ 4","control"
"MA",1,4,"TO","2020-01-30",0,"MA _ 4","control"
"MA",1,4,"TO","2020-01-31",0,"MA _ 4","control"
"MA",1,4,"TO","2020-02-01",NA,"MA _ 4","control"
"MA",1,4,"TO","2020-02-02",NA,"MA _ 4","control"
"MA",1,4,"TO","2020-02-03",0,"MA _ 4","control"
"MA",1,4,"TO","2020-02-04",0,"MA _ 4","control"
"MA",1,4,"TO","2020-02-05",0,"MA _ 4","control"
"MA",1,4,"TO","2020-02-06",0,"MA _ 4","control"
"MA",1,4,"TO","2020-02-07",2,"MA _ 4","control"
"MA",1,5,"TO","2020-01-21",NA,"MA _ 5","control"
"MA",1,5,"TO","2020-01-22",NA,"MA _ 5","control"
"MA",1,5,"TO","2020-01-23",0,"MA _ 5","control"
"MA",1,5,"TO","2020-01-24",0,"MA _ 5","control"
"MA",1,5,"TO","2020-01-25",0,"MA _ 5","control"
"MA",1,5,"TO","2020-01-26",0,"MA _ 5","control"
"MA",1,5,"TO","2020-01-27",0,"MA _ 5","control"
"MA",1,5,"TO","2020-01-28",0,"MA _ 5","control"
"MA",1,5,"TO","2020-01-29",0,"MA _ 5","control"
"MA",1,5,"TO","2020-01-30",0,"MA _ 5","control"
"MA",1,5,"TO","2020-01-31",0,"MA _ 5","control"
"MA",1,5,"TO","2020-02-01",NA,"MA _ 5","control"
"MA",1,5,"TO","2020-02-02",NA,"MA _ 5","control"
"MA",1,5,"TO","2020-02-03",0,"MA _ 5","control"
"MA",1,5,"TO","2020-02-04",0,"MA _ 5","control"
"MA",1,5,"TO","2020-02-05",1,"MA _ 5","control"
"MA",1,5,"TO","2020-02-06",3,"MA _ 5","control"
"MA",1,5,"TO","2020-02-07",0,"MA _ 5","control"
"MA",1,6,"TO","2020-01-21",NA,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-01-22",NA,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-01-23",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-01-24",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-01-25",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-01-26",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-01-27",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-01-28",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-01-29",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-01-30",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-01-31",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-02-01",NA,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-02-02",NA,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-02-03",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-02-04",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-02-05",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-02-06",0,"MA _ 6","snow reduction"
"MA",1,6,"TO","2020-02-07",2,"MA _ 6","snow reduction"
"MA",1,7,"TO","2020-01-21",NA,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-01-22",NA,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-01-23",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-01-24",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-01-25",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-01-26",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-01-27",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-01-28",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-01-29",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-01-30",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-01-31",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-02-01",NA,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-02-02",NA,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-02-03",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-02-04",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-02-05",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-02-06",0,"MA _ 7","snow reduction"
"MA",1,7,"TO","2020-02-07",1,"MA _ 7","snow reduction"
"MA",1,8,"TO","2020-01-21",NA,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-01-22",NA,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-01-23",0,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-01-24",0,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-01-25",0,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-01-26",0,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-01-27",0,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-01-28",0,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-01-29",0,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-01-30",0,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-01-31",0,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-02-01",NA,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-02-02",NA,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-02-03",0,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-02-04",0,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-02-05",0,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-02-06",1,"MA _ 8","snow reduction"
"MA",1,8,"TO","2020-02-07",1,"MA _ 8","snow reduction"
"MA",1,9,"TO","2020-01-21",NA,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-01-22",NA,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-01-23",0,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-01-24",0,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-01-25",0,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-01-26",0,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-01-27",0,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-01-28",0,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-01-29",0,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-01-30",0,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-01-31",0,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-02-01",NA,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-02-02",NA,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-02-03",0,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-02-04",0,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-02-05",1,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-02-06",0,"MA _ 9","snow reduction"
"MA",1,9,"TO","2020-02-07",0,"MA _ 9","snow reduction"
"MA",1,10,"TO","2020-01-21",NA,"MA _ 10","control"
"MA",1,10,"TO","2020-01-22",NA,"MA _ 10","control"
"MA",1,10,"TO","2020-01-23",0,"MA _ 10","control"
"MA",1,10,"TO","2020-01-24",0,"MA _ 10","control"
"MA",1,10,"TO","2020-01-25",0,"MA _ 10","control"
"MA",1,10,"TO","2020-01-26",0,"MA _ 10","control"
"MA",1,10,"TO","2020-01-27",0,"MA _ 10","control"
"MA",1,10,"TO","2020-01-28",0,"MA _ 10","control"
"MA",1,10,"TO","2020-01-29",0,"MA _ 10","control"
"MA",1,10,"TO","2020-01-30",0,"MA _ 10","control"
"MA",1,10,"TO","2020-01-31",0,"MA _ 10","control"
"MA",1,10,"TO","2020-02-01",NA,"MA _ 10","control"
"MA",1,10,"TO","2020-02-02",NA,"MA _ 10","control"
"MA",1,10,"TO","2020-02-03",0,"MA _ 10","control"
"MA",1,10,"TO","2020-02-04",0,"MA _ 10","control"
"MA",1,10,"TO","2020-02-05",5,"MA _ 10","control"
"MA",1,10,"TO","2020-02-06",2,"MA _ 10","control"
"MA",1,10,"TO","2020-02-07",1,"MA _ 10","control"
"IL",1,1,"TO","2020-01-21",NA,"IL _ 1","control"
"IL",1,1,"TO","2020-01-22",NA,"IL _ 1","control"
"IL",1,1,"TO","2020-01-23",0,"IL _ 1","control"
"IL",1,1,"TO","2020-01-24",0,"IL _ 1","control"
"IL",1,1,"TO","2020-01-25",1,"IL _ 1","control"
"IL",1,1,"TO","2020-01-26",0,"IL _ 1","control"
"IL",1,1,"TO","2020-01-27",1,"IL _ 1","control"
"IL",1,1,"TO","2020-01-28",1,"IL _ 1","control"
"IL",1,1,"TO","2020-01-29",0,"IL _ 1","control"
"IL",1,1,"TO","2020-01-30",0,"IL _ 1","control"
"IL",1,1,"TO","2020-01-31",1,"IL _ 1","control"
"IL",1,1,"TO","2020-02-01",NA,"IL _ 1","control"
"IL",1,1,"TO","2020-02-02",NA,"IL _ 1","control"
"IL",1,1,"TO","2020-02-03",0,"IL _ 1","control"
"IL",1,1,"TO","2020-02-04",2,"IL _ 1","control"
"IL",1,1,"TO","2020-02-05",3,"IL _ 1","control"
"IL",1,1,"TO","2020-02-06",2,"IL _ 1","control"
"IL",1,1,"TO","2020-02-07",0,"IL _ 1","control"
"IL",1,2,"TO","2020-01-21",NA,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-01-22",NA,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-01-23",0,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-01-24",0,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-01-25",0,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-01-26",0,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-01-27",0,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-01-28",0,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-01-29",4,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-01-30",1,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-01-31",2,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-02-01",NA,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-02-02",NA,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-02-03",0,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-02-04",1,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-02-05",0,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-02-06",2,"IL _ 2","snow reduction"
"IL",1,2,"TO","2020-02-07",1,"IL _ 2","snow reduction"
"IL",1,3,"TO","2020-01-21",NA,"IL _ 3","snow reduction"
"IL",1,3,"TO","2020-01-22",NA,"IL _ 3","snow reduction"
"IL",1,3,"TO","2020-01-23",0,"IL _ 3","snow reduction"
"IL",1,3,"TO","2020-01-24",0,"IL _ 3","snow reduction"
"IL",1,3,"TO","2020-01-25",0,"IL _ 3","snow reduction"
"IL",1,3,"TO","2020-01-26",0,"IL _ 3","snow reduction"
"IL",1,3,"TO","2020-01-27",0,"IL _ 3","snow reduction"
"IL",1,3,"TO","2020-01-28",2,"IL _ 3","snow reduction"
"IL",1,3,"TO","2020-01-29",0,"IL _ 3","snow reduction"
"IL",1,3,"TO","2020-01-30",0,"IL _ 3","snow reduction"
